date,stock_code,stock_name,shares,weight
2026-07-13,2609,陽明,50189720,50.19
2026-07-13,2308,台達電,13061240,13.06
2026-07-13,2382,廣達,8177429,8.17
2026-07-13,2317,鴻海,7953480,7.96
2026-07-13,3231,緯創,6244820,6.25
2026-07-13,2301,光寶科,4987770,4.98
2026-07-13,2327,國巨,4968200,4.96
2026-07-13,2357,華碩,4438220,4.43
2026-07-12,2317,鴻海,37389210,37.38
2026-07-12,2603,長榮,12905780,12.91
2026-07-12,2327,國巨,12320640,12.33
2026-07-12,2891,中信金,11810980,11.81
2026-07-12,2609,陽明,7634489,7.63
2026-07-12,2881,富邦金,4842660,4.84
2026-07-12,3034,聯詠,3787580,3.79
2026-07-12,2330,台積電,3298920,3.3
2026-07-12,2301,光寶科,3168770,3.17
2026-07-12,2379,瑞昱,2844530,2.84
2026-07-11,2317,鴻海,13768190,13.76
2026-07-11,3231,緯創,12891650,12.89
2026-07-11,3034,聯詠,12463620,12.47
2026-07-11,2454,聯發科,11310310,11.31
2026-07-11,2408,南亞科,10364719,10.37
2026-07-11,3711,日月光投控,9100270,9.11
2026-07-11,2330,台積電,8990070,8.99
2026-07-11,2301,光寶科,7180350,7.18
2026-07-11,2603,長榮,6223340,6.22
2026-07-11,2379,瑞昱,5061150,5.07
2026-07-11,2357,華碩,2637620,2.63
2026-07-10,2317,鴻海,31467790,31.46
2026-07-10,2357,華碩,14894680,14.9
2026-07-10,3034,聯詠,12445380,12.45
2026-07-10,2603,長榮,11411780,11.41
2026-07-10,2609,陽明,10407050,10.41
2026-07-10,2882,國泰金,7972650,7.98
2026-07-10,2408,南亞科,6625539,6.62
2026-07-10,2301,光寶科,4766759,4.77
2026-07-09,2317,鴻海,32980880,32.99
2026-07-09,2603,長榮,12426400,12.42
2026-07-09,3231,緯創,11336420,11.34
2026-07-09,2408,南亞科,11285089,11.29
2026-07-09,2330,台積電,9454770,9.46
2026-07-09,2891,中信金,8267149,8.26
2026-07-09,2882,國泰金,5099100,5.1
2026-07-09,2609,陽明,3899890,3.89
2026-07-09,2881,富邦金,3207389,3.21
2026-07-09,2379,瑞昱,2040470,2.04
2026-07-08,2308,台達電,37762310,37.76
2026-07-08,2603,長榮,12800820,12.81
2026-07-08,2327,國巨,8831590,8.83
2026-07-08,3711,日月光投控,6965059,6.96
2026-07-08,2330,台積電,6585040,6.59
2026-07-08,3231,緯創,5279250,5.28
2026-07-08,2408,南亞科,5271100,5.27
2026-07-08,2357,華碩,5194610,5.19
2026-07-08,2882,國泰金,3967560,3.97
2026-07-08,3034,聯詠,3886560,3.88
2026-07-08,2379,瑞昱,3461140,3.46
2026-07-07,2317,鴻海,14880530,14.89
2026-07-07,2379,瑞昱,13549440,13.54
2026-07-07,2881,富邦金,13362239,13.37
2026-07-07,2327,國巨,11230860,11.23
2026-07-07,3034,聯詠,10830080,10.84
2026-07-07,2603,長榮,9990350,9.99
2026-07-07,3711,日月光投控,9480270,9.48
2026-07-07,2454,聯發科,7221360,7.23
2026-07-07,2301,光寶科,5709540,5.71
2026-07-07,2609,陽明,3718830,3.72
2026-07-06,2603,長榮,35724219,35.73
2026-07-06,2882,國泰金,12712760,12.72
2026-07-06,3034,聯詠,11157900,11.16
2026-07-06,2317,鴻海,10896770,10.9
2026-07-06,3231,緯創,10112100,10.11
2026-07-06,2891,中信金,6165990,6.16
2026-07-06,2382,廣達,5667800,5.67
2026-07-06,2308,台達電,3804590,3.81
2026-07-06,2454,聯發科,3742150,3.74
