date,stock_code,stock_name,shares,weight
2026-07-09,2303,聯電,6000000,0.0
2026-07-09,2327,國巨,2200000,0.0
2026-07-09,3037,欣興,2200000,0.0
2026-07-09,3436,JP,1291200,0.0
2026-07-09,6997,JP,1275100,0.0
2026-07-09,3711,日月光投控,1100000,0.0
2026-07-09,6981,JP,1066000,0.0
2026-07-09,6976,JP,760000,0.0
2026-07-09,2330,台積電,550000,0.0
2026-07-09,2454,聯發科,445000,0.0
2026-07-09,6274,台燿,375000,0.0
2026-07-09,2383,台光電,330000,0.0
2026-07-09,4062,JP,275000,0.0
2026-07-09,3017,奇鋐,215000,0.0
2026-07-09,2308,台達電,175000,0.0
2026-07-09,6223,旺矽,145000,0.0
2026-07-09,6871,JP,140000,0.0
2026-07-09,6278,JP,90000,0.0
2026-07-09,8035,JP,88000,0.0
2026-07-09,6920,JP,87500,0.0
2026-07-08,2603,長榮,25887389,25.88
2026-07-08,2330,台積電,14941700,14.94
2026-07-08,2882,國泰金,13873010,13.88
2026-07-08,3711,日月光投控,11460860,11.46
2026-07-08,3034,聯詠,9846830,9.84
2026-07-08,2301,光寶科,8659870,8.66
2026-07-08,2408,南亞科,7234530,7.24
2026-07-08,2891,中信金,4186819,4.18
2026-07-08,2382,廣達,3929220,3.92
2026-07-07,2379,瑞昱,26229870,26.22
2026-07-07,2454,聯發科,12695189,12.69
2026-07-07,3711,日月光投控,10815110,10.81
2026-07-07,3231,緯創,9546669,9.54
2026-07-07,2881,富邦金,9291030,9.29
2026-07-07,2609,陽明,7882320,7.89
2026-07-07,2408,南亞科,7351800,7.36
2026-07-07,2603,長榮,5534960,5.54
2026-07-07,2357,華碩,4612510,4.61
2026-07-07,2327,國巨,3334280,3.33
2026-07-07,2891,中信金,2712570,2.72
2026-07-06,2308,台達電,36400000,36.41
2026-07-06,2891,中信金,12006980,12.0
2026-07-06,3034,聯詠,10198119,10.19
2026-07-06,2379,瑞昱,9121610,9.13
2026-07-06,2603,長榮,7388120,7.38
2026-07-06,2301,光寶科,6889160,6.89
2026-07-06,3231,緯創,6189620,6.19
2026-07-06,2408,南亞科,3442690,3.44
2026-07-06,3711,日月光投控,3146750,3.15
2026-07-06,2882,國泰金,2814240,2.82
2026-07-06,2382,廣達,2407250,2.4
2026-07-05,2609,陽明,56691449,56.69
2026-07-05,2882,國泰金,10561890,10.56
2026-07-05,2379,瑞昱,10460990,10.47
2026-07-05,2454,聯發科,5497100,5.5
2026-07-05,2308,台達電,5326380,5.33
2026-07-05,2357,華碩,5010560,5.01
2026-07-05,2891,中信金,3468980,3.47
2026-07-05,2317,鴻海,2975020,2.97
2026-07-04,2609,陽明,39006050,39.0
2026-07-04,2603,長榮,14083610,14.09
2026-07-04,3231,緯創,12330630,12.33
2026-07-04,2408,南亞科,8608720,8.6
2026-07-04,2881,富邦金,5024970,5.03
2026-07-04,2454,聯發科,5021100,5.03
2026-07-04,2327,國巨,3786840,3.78
2026-07-04,2301,光寶科,3425560,3.43
2026-07-04,2882,國泰金,3042350,3.04
2026-07-04,2308,台達電,3017810,3.01
2026-07-04,3711,日月光投控,2652380,2.66
2026-07-03,3034,聯詠,19776410,19.78
2026-07-03,2609,陽明,11088030,11.09
2026-07-03,2308,台達電,10118780,10.12
2026-07-03,2382,廣達,10100380,10.11
