date,stock_code,stock_name,shares,weight
2026-05-25,2408,南亞科,7100000,0.0
2026-05-25,2327,國巨,5100000,0.0
2026-05-25,2330,台積電,3650000,0.0
2026-05-25,3037,欣興電子,3200000,0.0
2026-05-25,8299,群聯電子,1360000,0.0
2026-05-25,2308,台達電,850000,0.0
2026-05-25,2345,智邦科技,800000,0.0
2026-05-25,2383,台光電子,765000,0.0
2026-05-25,2454,聯發科,500000,0.0
2026-05-25,7769,鴻勁精密,250000,0.0
2026-05-25,2026,未知,518,0.0
2026-05-24,2609,陽明,16403770,16.41
2026-05-24,2317,鴻海,13959339,13.95
2026-05-24,2330,台積電,12452210,12.46
2026-05-24,2603,長榮,12262740,12.26
2026-05-24,2881,富邦金,12218700,12.22
2026-05-24,2357,華碩,9053810,9.06
2026-05-24,2382,廣達,7694940,7.7
2026-05-24,3711,日月光投控,7428370,7.42
2026-05-24,2882,國泰金,5176630,5.18
2026-05-24,2301,光寶科,3345990,3.34
