date,stock_code,stock_name,shares,weight
2026-05-25,2382,廣達,14964860,14.96
2026-05-25,2308,台達電,14875650,14.88
2026-05-25,3034,聯詠,12848770,12.85
2026-05-25,2357,華碩,11631190,11.63
2026-05-25,2317,鴻海,9547969,9.54
2026-05-25,2330,台積電,7718010,7.71
2026-05-25,3711,日月光投控,7409280,7.4
2026-05-25,2301,光寶科,6438810,6.44
2026-05-25,2881,富邦金,5949400,5.94
2026-05-25,2891,中信金,4870200,4.88
2026-05-25,2454,聯發科,1959260,1.96
2026-05-25,2379,瑞昱,1810700,1.81
2026-05-24,2308,台達電,45778800,45.78
2026-05-24,2379,瑞昱,9427430,9.42
2026-05-24,2882,國泰金,8869139,8.87
2026-05-24,2327,國巨,6838640,6.83
2026-05-24,2454,聯發科,6555960,6.55
2026-05-24,2408,南亞科,6390300,6.4
2026-05-24,2330,台積電,5705390,5.7
2026-05-24,2357,華碩,3970240,3.97
2026-05-24,2891,中信金,3251040,3.25
2026-05-24,3231,緯創,3224170,3.23
