date,stock_code,stock_name,shares,weight
2026-08-17,2308,台達電,38195039,38.19
2026-08-17,2382,廣達,14411460,14.41
2026-08-17,2379,瑞昱,13513070,13.51
2026-08-17,2881,富邦金,11370060,11.37
2026-08-17,2603,長榮,11028600,11.03
2026-08-17,2317,鴻海,4852469,4.85
2026-08-17,2301,光寶科,4428680,4.42
2026-08-17,3034,聯詠,2221520,2.22
2026-08-16,2603,長榮,27374450,27.38
2026-08-16,2301,光寶科,14325710,14.32
2026-08-16,3711,日月光投控,12907130,12.9
2026-08-16,2882,國泰金,9756240,9.76
2026-08-16,2308,台達電,8535849,8.54
2026-08-16,2357,華碩,8422300,8.42
2026-08-16,2330,台積電,6181600,6.19
2026-08-16,3034,聯詠,4899610,4.9
2026-08-16,2609,陽明,4600390,4.61
2026-08-16,2454,聯發科,2985300,2.98
2026-08-15,2891,中信金,17199490,17.19
2026-08-15,2379,瑞昱,14964820,14.96
2026-08-15,2382,廣達,13971440,13.97
2026-08-15,2357,華碩,12236940,12.23
2026-08-15,2454,聯發科,11850120,11.85
2026-08-15,2408,南亞科,11451660,11.46
2026-08-15,2301,光寶科,10421220,10.43
2026-08-15,3711,日月光投控,7907890,7.91
2026-08-14,2609,陽明,21118900,21.11
2026-08-14,2882,國泰金,13526289,13.52
2026-08-14,2881,富邦金,13267690,13.26
2026-08-14,2603,長榮,12341250,12.35
2026-08-14,2327,國巨,9117279,9.12
2026-08-14,2382,廣達,8805540,8.81
2026-08-14,2454,聯發科,7912440,7.91
2026-08-14,3231,緯創,7287790,7.28
2026-08-14,2408,南亞科,3928270,3.93
2026-08-14,2330,台積電,2701900,2.71
2026-08-13,2881,富邦金,37747760,37.75
2026-08-13,2327,國巨,10801070,10.8
2026-08-13,2330,台積電,9579430,9.57
2026-08-13,2891,中信金,8863929,8.87
2026-08-13,2308,台達電,6982050,6.99
2026-08-13,2357,華碩,5808510,5.81
2026-08-13,3034,聯詠,5592919,5.6
2026-08-13,3231,緯創,4140300,4.14
2026-08-13,2408,南亞科,3805430,3.81
2026-08-13,3711,日月光投控,3356740,3.36
2026-08-13,2882,國泰金,3308800,3.3
2026-08-12,3034,聯詠,17996779,17.99
2026-08-12,2317,鴻海,14328120,14.32
2026-08-12,2454,聯發科,12721490,12.73
2026-08-12,2382,廣達,10081760,10.09
2026-08-12,3711,日月光投控,9289070,9.28
2026-08-12,2609,陽明,9216690,9.21
2026-08-12,3231,緯創,6529280,6.53
2026-08-12,2301,光寶科,6131310,6.13
2026-08-12,2891,中信金,4348670,4.34
2026-08-12,2408,南亞科,4094850,4.09
2026-08-12,2308,台達電,3152070,3.16
2026-08-12,2603,長榮,2121670,2.13
2026-08-11,2317,鴻海,51241420,51.24
2026-08-11,2379,瑞昱,12656460,12.65
